DFA State	P	PROG	CODE	INSTR	halt	IO	CALL	ASSIGN	COND_BRANCH	COND_LOOP	if	while	for	input	output	UserDefinedName	VAR	proc	PROC_DEFS	PROC	;	(	)	{	}	BOOL	=	add	sub	mult	NUMEXPR	not	and	or	String	else	CALC	0	1	Integer		<	>	,	eq	then	S	$
0		20	17	15	19	21	33	14	16	1	22	26	27	29	119	105	32																																0
1	13																																																1
2	3																	5	18	2																													2
3																		5	4	2																													3
4	2																																																4
5																6																																	5
6																								7																									6
7		9	17	15	19	21	33	14	16	1	22	26	27	29	119	105	32																																7
8	5																																																8
9																									8																								9
10	7																																																10
11			10	15	19	21	33	14	16	1	22	26	27	29	119	105	32																																11
12																									101																								12
13			12	15	19	21	33	14	16	1	22	26	27	29	119	105	32																																13
14	11																																																14
15	6																				11																												15
16	12																																																16
17	1																				3																												17
18	4																																																18
19	8																																																19
20	0																																																20
21	9																																																21
22																						59																											22
23																								13																									23
24	26																																			23													24
25																									24																								25
26																						58																											26
27																						28																											27
28																31	36																																28
29																						30																											29
30																31	35																																30
31	16																																																31
32																											34																						32
33	10																																																33
34																31	104											98	123	129	94				103		97			96									34
35																							102																										35
36																											37																						36
37																																						38											37
38																					39																												38
39																31	40																																39
40																																										41							40
41																31	42																																41
42																					106																												42
43																												44																					43
44																						45																											44
45																31	46																																45
46																																												47					46
47																																							48										47
48																							49																										48
49																							50																										49
50																								51																									50
51			52	15	19	21	33	14	16	1	22	26	27	29	119	105	32																																51
52																									53																								52
53	29																																																53
54	28																																																54
55																									54																								55
56			55	15	19	21	33	14	16	1	22	26	27	29	119	105	32																																56
57																							108																										57
58																						90				57						79	78	112											77				58
59																						90				60						79	78	112											77				59
60																							61																										60
61																																														62			61
62																								63																									62
63			25	15	19	21	33	14	16	1	22	26	27	29	119	105	32																																63
64																																												65					64
65																31	95											98	123	129	66						97			96									65
66																							67																										66
67	32																																																67
68																31	95					90				76		98	123	129	64	79	78	112			97			96					77				68
69																																												70					69
70																31	71																																70
71																							72																										71
72	30																																																72
73	31																																																73
74																							73																										74
75																						90				74						79	78	112											77				75
76																																												75					76
77																						68																											77
78																						81																											78
79																						90				80						79	78	112											77				79
80	34																																																80
81																						90				82						79	78	112											77				81
82																																												83					82
83																						90				84						79	78	112											77				83
84																							85																										84
85	35																																																85
86	33																																																86
87																							86																										87
88																31	87																																88
89																																										88	111						89
90																31	89																																90
91	23																																																91
92																							91																										92
93																31	95											98	123	129	92						97			96									93
94	19																																																94
95	20																																																95
96	21																																																96
97	22																																																97
98																						99																											98
99																31	95											98	123	129	100						97			96									99
100																																												93					100
101	27																																																101
102	14																																																102
103	18																																																103
104	17																																																104
105	38,=,16																																																105
106																31	107																																106
107																											43																						107
108																								56																									108
109	37																																																109
110																							109																										110
111																31	110																																111
112																						114																											112
113																																																	113
114																						90				115						79	78	112											77				114
115																																												116					115
116																						90				117						79	78	112											77				116
117																							118																										117
118	35																																																118
119																						120																											119
120																31	121																																120
121																							122																										121
122	15																																																122
123																						124																											123
124																31	95											98	123	129	125						97			96									124
125																																												126					125
126																31	95											98	123	129	127						97			96									126
127																							128																										127
128	24																																																128
129																						130																											129
130																31	95											98	123	129	131						97			96									130
131																																												132					131
132																31	95											98	123	129	133						97			96									132
133																							134																										133
134	25																																																134
